q_Ainv,Sq,nframes_avg
2.772500038146972656e+00,8.506487780702720602e-01,1.000100000000000000e+04
2.785500049591064453e+00,9.079139957593901356e-01,1.000100000000000000e+04
2.798500061035156250e+00,8.461596449367190242e-01,1.000100000000000000e+04
2.811500072479248047e+00,8.914393215116983571e-01,1.000100000000000000e+04
2.824500083923339844e+00,8.670610855512769222e-01,1.000100000000000000e+04
2.837500095367431641e+00,9.068282809439640602e-01,1.000100000000000000e+04
2.850499868392944336e+00,9.001798546143787716e-01,1.000100000000000000e+04
2.863499879837036133e+00,9.293384074556888530e-01,1.000100000000000000e+04
2.876499891281127930e+00,9.272324582681978900e-01,1.000100000000000000e+04
2.889499902725219727e+00,8.796653408084484926e-01,1.000100000000000000e+04
2.902499914169311523e+00,9.047758309093312246e-01,1.000100000000000000e+04
2.915499925613403320e+00,9.630496823368114301e-01,1.000100000000000000e+04
2.928499937057495117e+00,9.513437589065227851e-01,1.000100000000000000e+04
2.941499948501586914e+00,9.925172207963643967e-01,1.000100000000000000e+04
2.954499959945678711e+00,9.444873198403463954e-01,1.000100000000000000e+04
2.967499971389770508e+00,9.697074109155551236e-01,1.000100000000000000e+04
2.980499982833862305e+00,1.008548027914102807e+00,1.000100000000000000e+04
2.993499994277954102e+00,9.836245865693582502e-01,1.000100000000000000e+04
