q_Ainv,Sq,nframes_avg
1.251500010490417480e+00,1.193596135650965007e+00,1.000100000000000000e+04
1.264499902725219727e+00,1.160510218881890765e+00,1.000100000000000000e+04
1.277499914169311523e+00,1.308141263252305508e+00,1.000100000000000000e+04
1.290499925613403320e+00,1.324900086576158431e+00,1.000100000000000000e+04
1.303499937057495117e+00,1.477411040558527455e+00,1.000100000000000000e+04
1.316499948501586914e+00,9.632656664124084056e-01,1.000100000000000000e+04
1.329499959945678711e+00,1.832633718542412637e+00,1.000100000000000000e+04
1.342499971389770508e+00,1.349276362002080676e+00,1.000100000000000000e+04
1.355499982833862305e+00,7.547026538390563255e-01,1.000100000000000000e+04
1.368499994277954102e+00,8.475572869707591606e-01,1.000100000000000000e+04
1.381500005722045898e+00,1.119120834014044163e+00,1.000100000000000000e+04
1.394500017166137695e+00,1.070857031981762297e+00,1.000100000000000000e+04
1.407499909400939941e+00,1.074574858471698979e+00,1.000100000000000000e+04
1.420499920845031738e+00,1.041528819596906796e+00,1.000100000000000000e+04
1.433499932289123535e+00,1.253336518016556100e+00,1.000100000000000000e+04
1.446499943733215332e+00,8.034256683499940710e-01,1.000100000000000000e+04
1.459499955177307129e+00,8.806010319607077141e-01,1.000100000000000000e+04
1.472499966621398926e+00,1.231728890015833189e+00,1.000100000000000000e+04
1.485499858856201172e+00,1.045343730440379204e+00,1.000100000000000000e+04
1.498499870300292969e+00,nan,1.000100000000000000e+04
1.511499881744384766e+00,6.446770176823384269e-01,1.000100000000000000e+04
1.524499893188476562e+00,7.468091245055639149e-01,1.000100000000000000e+04
1.537499904632568359e+00,7.577709464052536648e-01,1.000100000000000000e+04
1.550499916076660156e+00,1.147322067166016035e+00,1.000100000000000000e+04
1.563499927520751953e+00,8.225922449393673341e-01,1.000100000000000000e+04
1.576499938964843750e+00,6.869796865539912201e-01,1.000100000000000000e+04
1.589499950408935547e+00,8.928660788115067026e-01,1.000100000000000000e+04
1.602499961853027344e+00,5.170257693550882605e-01,1.000100000000000000e+04
1.615499973297119141e+00,7.802228432585628370e-01,1.000100000000000000e+04
1.628499865531921387e+00,7.376838536599125140e-01,1.000100000000000000e+04
1.641499876976013184e+00,7.380368868394704407e-01,1.000100000000000000e+04
1.654499888420104980e+00,6.386719284957795839e-01,1.000100000000000000e+04
1.667499899864196777e+00,7.664585067991995793e-01,1.000100000000000000e+04
1.680499911308288574e+00,8.804332494181450475e-01,1.000100000000000000e+04
1.693499922752380371e+00,6.191681676620889307e-01,1.000100000000000000e+04
1.706499934196472168e+00,7.766226117532976092e-01,1.000100000000000000e+04
1.719499945640563965e+00,7.492810051693413742e-01,1.000100000000000000e+04
1.732499957084655762e+00,8.835356998069323620e-01,1.000100000000000000e+04
1.745499849319458008e+00,9.307587997753755671e-01,1.000100000000000000e+04
